timestamp,frame,top_dx_cm,top_dy_cm,bot_dx_cm,bot_dy_cm,tilt_dx_cm,tilt_dy_cm,tilt_deg,tilt_total_cm,top_pts,bot_pts,alert_level
2026-04-21T09:23:27.587,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,OK
2026-04-21T09:23:27.758,2,-1.45,-0.256,-21.57,-13.333,20.12,13.077,0.5764,23.997,196,173,DANGER
2026-04-21T09:23:27.913,3,-0.631,-0.058,-18.402,-12.889,17.771,12.831,0.5091,21.919,195,169,DANGER
2026-04-21T09:23:28.065,4,-0.79,0.009,-14.315,-9.698,13.525,9.707,0.3875,16.648,194,169,DANGER
2026-04-21T09:23:28.224,5,-0.42,0.063,-11.432,-7.203,11.011,7.266,0.3154,13.193,193,166,DANGER
2026-04-21T09:23:28.401,6,0.02,0.424,-9.809,-6.931,9.829,7.355,0.2816,12.276,193,164,DANGER
2026-04-21T09:23:28.595,7,0.097,-0.096,-7.859,-6.964,7.956,6.868,0.2279,10.51,193,162,DANGER
2026-04-21T09:23:28.788,8,0.55,-0.383,-5.365,-6.572,5.915,6.188,0.1694,8.56,193,160,DANGER
2026-04-21T09:23:28.984,9,0.553,-0.363,-4.187,-5.639,4.74,5.276,0.1358,7.093,193,157,DANGER
2026-04-21T09:23:29.166,10,0.457,-0.251,-3.73,-5.453,4.187,5.201,0.1199,6.677,193,156,DANGER
2026-04-21T09:23:29.350,11,0.528,-0.14,-2.726,-3.98,3.254,3.84,0.0932,5.034,192,155,DANGER
2026-04-21T09:23:29.532,12,0.5,-0.077,-1.876,-3.799,2.376,3.723,0.0681,4.416,192,155,DANGER
2026-04-21T09:23:29.703,13,0.31,-0.065,-0.493,-2.443,0.803,2.378,0.023,2.51,192,155,WARN
2026-04-21T09:23:29.866,14,0.138,0.008,0.589,-1.685,-0.451,1.692,0.0129,1.751,192,155,OK
2026-04-21T09:23:30.035,15,0.17,0.021,1.208,-0.736,-1.038,0.756,0.0297,1.284,192,155,OK
2026-04-21T09:23:30.187,16,0.105,0.094,1.736,-0.158,-1.631,0.252,0.0467,1.65,192,155,OK
2026-04-21T09:23:30.345,17,0.057,0.167,1.995,0.245,-1.937,-0.078,0.0555,1.939,191,154,OK
2026-04-21T09:23:30.505,18,0.004,0.176,1.857,0.346,-1.853,-0.17,0.0531,1.861,191,153,OK
2026-04-21T09:23:30.682,19,-0.027,0.104,1.501,0.508,-1.528,-0.404,0.0438,1.58,191,153,OK
